id,species,genotype,treatment,tag,sampleid,fate,date,time,raw,trim,align,lesion,days,status,its2,its2maj,A3-A3ac-A3ah-A3m___A3,A3___A3,A13___A13,B1___B1,C42.2-C1-C1b-C3-C42ds___C42.2,C1-C42.2-C1d-C3cg-C1b-C1mt-C3cw-C45c___C1,C42.2_C1-C1b___C42.2_C1,D1-D4-D4c-D1c-D2___D1,D1-D1as-D1ba-D1bb-D4-D1at-D6___D1,D1-D1as-D1ba-D1bb-D4-D1at-D1bg___D1,D1-D4-D4c-D1c___D1,D1-D4-D4c___D1,D1-D1as___D1,G3l___G3l
Of_142,Ofav,green,HW,notag,Of_green_HW_notag,Healthy,6/5/24,12:45,11779608,815226,486051,,41,0,D1-D4-D4c-D1c-D2,D1,0,0,0,0,0,0,0,1,0,0,0,0.00E+00,0.00E+00,0.00E+00
Of_150,Ofav,green,HW,526,Of_green_HW_526,Healthy,6/5/24,12:54,10700631,699493,425333,,41,0,D1-D4-D4c-D1c-D2,D1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Of_152,Ofav,green,DC,313,Of_green_DC_313,NAI,6/5/24,13:00,6554727,347328,208608,,41,0,D1-D4-D4c-D1c-D2,D1,0,0.07023676,0,0,0,0,0,0.92976324,0,0,0,0,0,0
Of_154,Ofav,green,DC,318,Of_green_DC_318,NAI,6/5/24,13:02,1866488,76250,50742,,41,0,D1-D4-D4c-D1c-D2,D1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Of_158,Ofav,green,DC,274,Of_green_DC_274,Diseased,6/5/24,13:07,2348341,123584,79749,41,41,1,D1-D4-D4c-D1c-D2,D1,0,0,0,0,0,0,0,0.99908713,0,0,0,0,0,9.13E-04
Of_162,Ofav,green,DW2,315,Of_green_DW2_315,NAI,6/5/24,13:15,21624492,3228250,1998594,,41,0,D1-D4-D4c-D1c-D2,D1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Of_170,Ofav,green,DW1,289,Of_green_DW1_289,NAI,6/5/24,13:27,17512143,1700319,1019097,,41,0,D1-D4-D4c-D1c-D2,D1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Of_180,Ofav,green,DW1,276,Of_green_DW1_276,NAI,6/5/24,13:38,10778150,586093,351258,,41,0,D1-D4-D4c-D1c-D2,D1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Of_200,Ofav,green,DW2,119,Of_green_DW2_119,NAI,6/5/24,14:01,4088209,264732,150809,,41,0,D1-D4-D4c-D1c-D2,D1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Of_202,Ofav,green,DW2,34,Of_green_DW2_34,NAI,6/5/24,14:02,18712081,935379,562544,,41,0,D1-D4-D4c-D1c-D2,D1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Of_216,Ofav,green,DW1,15,Of_green_DW1_015,Diseased,6/5/24,14:19,619557,58103,34970,35,35,1,D1-D4-D4c-D1c-D2,D1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Of_224,Ofav,green,DW2,127,Of_green_DW2_127,NAI,6/5/24,14:27,17908673,1106856,575013,,41,0,D1-D4-D4c-D1c-D2,D1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Of_266,Ofav,F2,DC,174,Of_F2_DC_174,Diseased,6/21/24,14:54,16727262,3651706,2137049,8,8,1,D1-D4-D4c-D1c-D2,D1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pc_050,Pcla,851,DC,105,Pc_851_DC_105,Diseased,5/6/24,15:10,10762819,3747422,1595066,11,11,1,C42.2/C1-C1b,C42.2/C1,0,0,0,0,0,0,0.96896008,0.03103992,0,0,0,0,0,0
Pc_056,Pcla,894,DC,116,Pc_894_DC_116,Diseased,5/10/24,16:20,14786820,4206529,1877975,15,15,1,C42.2-C1-C1b-C3-C42ds,C42.2,0,0.01611626,0,0,0.98096207,0,0,0,0,0,0.00292166,0,0,0
Pc_096,Pcla,855,DC,99,Pc_855_DC_99,Diseased,5/16/24,16:49,12568582,4430171,2089699,20,20,1,C42.2-C1-C1b-C3-C42ds,C42.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Pc_128,Pcla,890,DC,97,Pc_890_DC_97,Diseased,5/30/24,15:55,17509218,2188122,1139648,34,34,1,C42.2-C1-C1b-C3-C42ds,C42.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Pc_132,Pcla,851,HW,notag,Pc_851_HW_notag,Healthy,6/2/24,15:05,19225774,5119705,2431326,38,38,1,C42.2-C1-C1b-C3-C42ds,C42.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Pc_138,Pcla,894,HW,127,Pc_894_HW_127,Healthy,6/5/24,12:40,12755982,4598858,2138881,,41,0,C42.2-C1-C1b-C3-C42ds,C42.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Pc_140,Pcla,855,HW,133,Pc_855_HW_133,Healthy,6/5/24,12:41,13601408,2537788,1282729,,41,0,C42.2-C1-C1b-C3-C42ds,C42.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Pc_148,Pcla,890,HW,123,Pc_890_HW_123,Healthy,6/5/24,12:53,18296221,4316211,2081766,,41,0,C42.2-C1-C1b-C3-C42ds,C42.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Pc_160,Pcla,851,DW2,78,Pc_851_DW2_78,NAI,6/5/24,13:11,19929641,4173905,1926200,,41,0,C42.2-C1-C1b-C3-C42ds,C42.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Pc_164,Pcla,894,DW1,77,Pc_894_DW1_77,NAI,6/5/24,13:17,16923944,3180729,1530582,,41,0,C42.2-C1-C1b-C3-C42ds,C42.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Pc_168,Pcla,890,DW2,80,Pc_890_DW2_80,NAI,6/5/24,13:23,15912090,3821810,1770214,,41,0,C42.2-C1-C1b-C3-C42ds,C42.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Pc_172,Pcla,894,DW2,85,Pc_894_DW2_85,NAI,6/5/24,13:28,15600576,2444484,1156098,,41,0,C42.2-C1-C1b-C3-C42ds,C42.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Pc_174,Pcla,855,DW1,54,Pc_855_DW1_54,NAI,6/5/24,13:31,16737818,4063486,1952638,,41,0,C42.2-C1-C1b-C3-C42ds,C42.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Pc_178,Pcla,855,DW2,71,Pc_855_DW2_71,NAI,6/5/24,13:35,20509673,4765469,2256168,,41,0,C42.2-C1-C1b-C3-C42ds,C42.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Pc_184,Pcla,894,DW1,107,Pc_894_DW1_107,NAI,6/5/24,13:43,16747196,3482953,1678363,,41,0,C42.2-C1-C1b-C3-C42ds,C42.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Pc_192,Pcla,851,DW1,40,Pc_851_DW1_40,NAI,6/5/24,13:51,18947958,2318150,1047949,,41,0,C42.2-C1-C1b-C3-C42ds,C42.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Pc_196,Pcla,890,DW1,7,Pc_890_DW1_7,NAI,6/5/24,13:56,18163581,3388263,1623434,,41,0,C42.2-C1-C1b-C3-C42ds,C42.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Pc_204,Pcla,851,DW2,42,Pc_851_DW2_42,NAI,6/5/24,14:08,15800178,4175579,2030679,,41,0,C42.2-C1-C1b-C3-C42ds,C42.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Pc_206,Pcla,890,DW2,104,Pc_890_DW2_104,Diseased,6/5/24,14:10,12407208,3945120,1781908,41,41,1,C42.2-C1-C1b-C3-C42ds,C42.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Pc_208,Pcla,855,DW1,37,Pc_855_DW1_37,NAI,6/5/24,14:12,20184276,4125301,1944716,,41,0,C42.2-C1-C1b-C3-C42ds,C42.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Pc_210,Pcla,855,DW2,38,Pc_855_DW2_38,NAI,6/5/24,14:13,19802523,5102247,2369430,,41,0,C42.2-C1-C1b-C3-C42ds,C42.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
