	Po-054	Po-058	Po-094	Po-106	Po-110	Po-116	Po-118	Po-124	Po-134	Po-136	Po-144	Po-156	Po-176	Po-182	Po-186	Po-190	Po-194	Po-214	Po-218	Po-222	Po-228	Po-230	Po-232	Po-234	
Durusdinium10305	0	0	0	0	0	0	0	0	1	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	
Durusdinium10306	0	0	0	0	0	0	0	0	7	0	0	7	9	1	0	0	0	5	0	0	5	6	0	3	
Durusdinium10308	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	
Durusdinium10311	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	5	0	0	
Durusdinium10313	0	0	1	1	0	0	0	0	0	0	3	6	1	4	1	0	0	4	0	0	1	2	1	8	
Durusdinium10317	5	5	8	8	0	0	0	0	26	0	15	38	29	31	19	0	0	41	1	0	27	15	0	40	
Durusdinium10319	0	22	34	23	0	0	0	0	80	8	46	56	50	58	52	0	0	77	6	0	16	41	14	87	
Durusdinium10331	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	1	0	0	1	
Durusdinium10332	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium10333	0	0	0	0	0	0	0	0	2	0	0	1	3	3	3	0	0	6	0	0	5	2	4	3	
Durusdinium10336	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	
Durusdinium1034	5	15	18	45	0	0	0	0	68	1	32	58	60	56	47	0	8	67	4	0	6	47	10	45	
Durusdinium10340	3	0	0	0	0	0	0	0	3	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	
Durusdinium10343	0	0	0	6	0	0	0	0	4	0	0	0	2	2	1	0	0	1	0	0	0	1	0	2	
Durusdinium10345	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	
Durusdinium10346	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	1	0	0	0	0	0	5	
Durusdinium10349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium10352	0	0	0	0	0	0	0	0	0	0	2	7	1	4	0	0	0	2	0	0	0	1	0	0	
Durusdinium10354	5	5	2	0	0	0	0	0	9	0	4	26	12	13	5	0	0	6	0	0	4	6	1	17	
Durusdinium10355	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium10357	0	2	3	4	0	0	0	0	8	0	7	4	4	4	0	0	0	5	0	0	0	10	0	4	
Durusdinium10363	0	3	6	9	0	0	0	0	9	0	6	3	3	9	11	0	0	8	0	0	7	3	6	5	
Durusdinium10365	0	0	0	4	0	0	0	0	0	1	0	5	1	0	5	0	0	5	0	0	0	3	0	4	
Durusdinium10366	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium10370	1	3	7	9	0	0	0	0	10	0	10	18	23	23	18	0	0	24	6	0	4	15	6	34	
Durusdinium10377	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	
Durusdinium10379	0	3	7	4	0	0	0	0	0	4	2	0	0	3	0	0	0	3	0	0	10	4	0	2	
Durusdinium1038	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	
Durusdinium10381	0	0	7	15	0	0	0	0	10	0	8	9	19	11	8	0	0	13	0	0	13	3	0	11	
Durusdinium10383	0	1	0	0	0	0	0	0	3	0	2	9	3	4	4	0	0	6	0	0	0	0	0	12	
Durusdinium10389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	
Durusdinium10391	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	
Durusdinium10395	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium10397	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium10398	0	0	1	5	0	0	0	0	4	0	6	4	7	4	5	0	0	16	0	0	6	6	0	10	
Durusdinium10400	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium10410	0	3	8	3	0	0	0	0	6	3	7	9	7	9	11	0	0	2	1	0	8	1	0	13	
Durusdinium10412	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	2	0	0	0	0	0	0	
Durusdinium10416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	
Durusdinium10417	0	0	1	0	0	0	0	0	1	0	0	0	2	1	4	0	0	5	0	0	0	2	0	4	
Durusdinium10418	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	
Durusdinium10422	0	16	9	18	0	0	0	0	95	7	39	101	71	86	83	0	0	105	25	0	13	39	11	110	
Durusdinium10423	8	3	5	0	0	0	0	0	7	0	4	15	11	12	1	0	0	12	1	0	7	8	0	15	
Durusdinium10425	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	
Durusdinium10426	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	0	0	1	0	0	0	1	0	4	
Durusdinium1043	0	0	1	0	0	0	0	0	0	0	1	2	3	0	3	0	0	1	0	0	0	1	0	4	
Durusdinium10430	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	1	0	0	0	0	0	1	
Durusdinium10431	0	6	0	0	0	0	0	0	8	0	6	16	20	9	2	0	0	9	0	0	12	18	1	10	
Durusdinium10434	0	0	3	0	0	0	0	0	2	0	1	3	1	6	3	0	0	6	0	0	16	4	0	20	
Durusdinium10436	1	1	1	0	0	0	0	0	5	0	7	5	15	6	8	0	0	13	1	0	1	1	1	17	
Durusdinium10440	0	0	0	1	0	0	0	0	2	0	3	3	1	3	4	0	0	13	0	0	0	3	0	7	
Durusdinium10441	1	1	2	3	0	0	0	0	2	0	1	6	2	3	7	0	0	3	0	0	0	0	0	6	
Durusdinium10445	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	
Durusdinium10448	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	2	
Durusdinium10450	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	
Durusdinium10451	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium10455	0	3	7	12	0	0	0	0	12	0	4	24	13	13	23	0	0	19	7	0	13	8	6	26	
Durusdinium10459	0	1	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	3	0	0	0	1	0	2	
Durusdinium10466	0	7	17	9	0	0	0	0	17	11	8	15	8	14	15	0	0	20	1	0	6	22	6	18	
Durusdinium10467	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Durusdinium10472	2	2	1	2	0	0	0	0	1	0	0	4	1	2	5	0	0	4	0	0	1	3	4	5	
Durusdinium10476	2	10	4	1	0	0	0	0	0	0	3	8	1	5	1	0	0	3	0	0	9	2	0	0	
Durusdinium10479	0	0	0	0	0	0	0	0	0	0	0	3	1	0	3	0	0	0	0	0	0	0	0	0	
Durusdinium1048	0	0	0	0	0	0	0	0	1	0	1	6	2	1	6	0	0	1	0	0	0	3	0	2	
Durusdinium10482	0	0	0	0	0	0	0	0	4	0	3	0	4	4	2	0	0	2	0	0	9	2	0	3	
Durusdinium10484	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium10485	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	3	
Durusdinium10487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
Durusdinium10491	13	8	21	29	0	0	0	0	53	23	10	30	28	22	33	0	0	31	14	0	42	44	22	62	
Durusdinium10492	0	0	2	3	0	0	0	0	3	0	1	6	3	2	2	0	0	8	0	0	8	2	0	12	
Durusdinium105	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	
Durusdinium10502	2	11	14	4	0	0	0	0	26	5	18	31	19	23	49	0	0	23	0	0	17	11	19	26	
Durusdinium10504	0	0	0	0	0	0	0	0	1	0	1	1	2	4	2	0	0	4	0	0	0	2	0	4	
Durusdinium10507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
Durusdinium1051	0	2	2	0	0	0	0	0	10	0	11	25	12	13	10	0	0	10	14	0	3	12	0	10	
Durusdinium10511	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	2	
Durusdinium10514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
Durusdinium10516	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	
Durusdinium10517	0	0	2	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium10520	0	0	0	0	0	0	0	0	5	0	1	7	5	3	8	0	0	5	0	0	5	4	1	2	
Durusdinium10521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	
Durusdinium10532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	
Durusdinium10535	0	1	11	9	0	0	0	0	43	0	20	69	37	74	26	0	0	60	9	0	23	33	1	66	
Durusdinium10540	0	0	0	0	0	0	0	0	2	0	2	3	2	0	0	0	0	5	0	0	0	3	0	11	
Durusdinium10542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	
Durusdinium10543	0	0	0	0	0	0	0	0	10	8	6	5	8	1	7	0	0	1	0	0	0	8	0	17	
Durusdinium10544	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	
Durusdinium10546	0	1	0	2	0	0	0	0	1	0	2	6	6	5	7	0	0	3	0	0	0	3	0	17	
Durusdinium10548	0	2	9	0	0	0	0	0	14	0	11	8	10	11	4	0	0	7	0	0	19	9	0	13	
