	Of-098	Of-104	Of-112	Of-114	Of-126	Of-130	Of-142	Of-150	Of-152	Of-154	Of-158	Of-162	Of-170	Of-180	Of-200	Of-202	Of-216	Of-224	Of-266	
Durusdinium10601	5	1	7	0	21	1	0	7	0	0	0	13	10	1	0	21	1	5	5	
Durusdinium10606	10	0	0	0	8	4	1	3	0	0	0	4	6	0	0	0	0	1	0	
Durusdinium10609	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium10618	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium1062	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	
Durusdinium10620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium10625	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium10627	5	2	0	0	3	2	2	1	2	2	2	7	4	0	0	10	0	1	0	
Durusdinium10634	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium10635	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	
Durusdinium10637	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	
Durusdinium1064	1	1	0	0	10	9	8	6	0	0	0	18	10	0	1	8	0	3	6	
Durusdinium10642	3	0	0	0	7	4	0	1	5	0	0	4	6	0	0	1	0	1	1	
Durusdinium10644	29	6	4	0	65	36	19	29	3	3	0	104	49	8	11	31	0	8	29	
Durusdinium10649	7	0	2	1	5	5	0	1	0	0	0	8	4	0	0	7	0	4	3	
Durusdinium10658	14	0	1	4	32	10	1	10	8	0	1	48	7	8	1	7	0	3	16	
Durusdinium1066	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium10662	1	2	1	0	2	7	0	1	0	0	0	2	1	0	0	0	0	0	7	
Durusdinium1067	8	1	1	0	14	1	4	1	1	1	0	19	9	2	0	14	0	0	3	
Durusdinium10672	3	0	0	2	4	1	3	0	0	0	0	2	0	6	3	1	0	0	0	
Durusdinium10674	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium10679	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium1068	10	1	7	0	9	3	2	2	9	7	0	27	13	0	0	7	0	1	6	
Durusdinium10681	15	2	1	0	10	6	2	7	1	0	0	26	4	8	0	0	0	4	5	
Durusdinium10686	19	0	0	0	30	3	5	5	1	0	0	38	2	0	8	12	0	14	11	
Durusdinium1069	6	9	4	0	10	4	5	3	0	0	0	26	7	0	0	5	0	0	5	
Durusdinium10690	110	27	45	9	140	76	69	94	37	21	16	213	141	39	5	97	0	34	34	
Durusdinium10696	2	0	0	0	2	2	0	0	0	0	0	2	1	0	0	0	0	1	0	
Durusdinium10697	2	0	0	0	1	0	0	0	0	0	0	6	0	4	0	0	0	0	2	
Durusdinium10698	15	3	3	0	18	4	7	1	9	3	0	25	15	4	0	9	0	3	4	
Durusdinium107	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	2	
Durusdinium10702	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium10703	39	18	11	0	46	10	7	19	13	0	0	82	32	5	1	33	0	7	19	
Durusdinium10708	12	0	2	0	22	7	7	5	0	0	0	54	6	3	3	10	0	0	13	
Durusdinium10711	16	7	0	0	8	4	1	4	0	0	0	25	13	14	11	0	0	4	5	
Durusdinium10712	0	0	0	0	0	0	6	0	0	0	0	1	2	0	0	0	0	0	0	
Durusdinium10713	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
Durusdinium10714	1	0	0	2	3	4	0	0	0	0	0	6	2	0	0	0	0	0	2	
Durusdinium10717	15	10	1	0	25	15	5	25	7	12	0	37	16	4	6	7	0	2	8	
Durusdinium10719	4	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium10721	2	0	0	0	4	0	0	0	0	0	0	2	1	0	0	0	0	1	0	
Durusdinium10722	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium10725	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	
Durusdinium10726	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	
Durusdinium10728	15	0	3	0	23	6	5	10	0	0	4	23	11	14	0	1	0	0	7	
Durusdinium10735	12	7	1	0	25	7	4	3	0	0	0	37	12	6	0	7	0	3	24	
Durusdinium10736	1	0	0	6	8	1	3	3	0	0	0	16	7	0	3	1	0	0	5	
Durusdinium10737	1	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	2	1	
Durusdinium10740	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	
Durusdinium10747	6	0	6	0	13	4	1	0	2	0	0	26	12	1	0	1	1	6	7	
Durusdinium10755	3	12	4	0	21	7	4	3	0	0	1	35	12	2	0	10	0	5	14	
Durusdinium10757	18	7	0	0	10	6	6	0	0	0	0	12	6	3	6	6	0	0	5	
Durusdinium10758	3	0	4	0	7	1	3	7	0	1	0	8	5	0	0	8	0	0	2	
