	Of-098	Of-104	Of-112	Of-114	Of-126	Of-130	Of-142	Of-150	Of-152	Of-154	Of-158	Of-162	Of-170	Of-180	Of-200	Of-202	Of-216	Of-224	Of-266	
Ofaveolata008065	1	0	0	0	2	1	0	0	0	0	0	3	0	0	0	0	0	0	3	
Ofaveolata008066	0	0	5	0	3	2	0	0	0	0	0	3	2	3	0	0	0	0	2	
Ofaveolata008067	1	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	
Ofaveolata008068	0	0	0	0	3	0	0	0	0	0	0	3	1	0	0	0	0	0	4	
Ofaveolata008069	12	5	2	0	9	9	0	1	3	0	0	19	3	0	0	0	0	9	9	
Ofaveolata008070	58	5	14	9	354	33	14	4	5	0	13	102	40	5	173	10	3	31	64	
Ofaveolata008071	0	0	2	0	2	1	2	1	0	0	0	2	1	0	0	0	0	0	8	
Ofaveolata008072	53	17	27	2	61	36	26	12	3	0	1	111	50	21	16	9	2	48	126	
Ofaveolata008074	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Ofaveolata008075	6	0	0	0	1	4	3	0	2	0	0	6	7	1	0	5	0	3	9	
Ofaveolata008076	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	
Ofaveolata008077	2	0	1	0	8	1	1	1	0	0	0	3	2	0	0	0	0	3	18	
Ofaveolata008078	0	0	2	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	6	
Ofaveolata008081	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	5	0	0	0	
Ofaveolata008083	11	18	7	14	21	18	16	4	15	2	3	21	21	14	4	21	3	19	35	
Ofaveolata008084	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	
Ofaveolata008085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
Ofaveolata008086	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ofaveolata008087	8	0	0	0	3	1	0	0	6	0	0	0	0	0	0	0	0	0	1	
Ofaveolata008088	91	57	31	8	118	93	32	23	19	7	1	118	44	21	25	21	4	38	163	
Ofaveolata008089	0	0	0	0	15	3	0	0	0	0	0	4	0	0	1	0	0	0	1	
Ofaveolata008090	1	0	0	0	8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Ofaveolata008094	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	
Ofaveolata008095	148	63	63	54	162	89	93	36	43	7	22	247	93	19	10	48	0	89	300	
Ofaveolata008097	26	23	9	3	60	20	13	7	10	1	1	52	14	12	0	10	1	16	54	
Ofaveolata008098	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	
Ofaveolata008099	10	0	1	0	5	5	7	0	0	0	0	16	0	2	0	1	0	2	6	
Ofaveolata008100	236	84	181	66	313	333	181	50	94	4	2	618	420	66	2	132	5	282	469	
Ofaveolata008101	171	51	39	25	156	187	108	12	16	2	2	186	77	21	21	44	7	59	276	
Ofaveolata008102	6	0	24	3	7	12	6	9	6	1	0	112	59	27	0	32	0	30	37	
Ofaveolata008103	3	0	6	0	2	2	1	3	0	0	0	14	6	1	0	2	0	1	14	
Ofaveolata008108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
Ofaveolata008110	11	1	1	3	12	17	4	1	3	0	0	16	8	0	0	7	0	7	13	
Ofaveolata008112	4	0	0	0	5	0	0	4	0	0	0	4	3	0	0	1	0	2	12	
Ofaveolata008113	6	1	4	0	11	0	5	2	1	0	0	13	3	1	0	2	0	4	30	
Ofaveolata008114	61	10	17	2	39	29	18	10	16	3	3	121	53	6	1	15	0	40	106	
Ofaveolata008115	1	0	3	1	12	14	9	5	0	0	0	13	2	0	2	0	1	1	29	
Ofaveolata008116	17	5	11	10	56	33	16	11	20	2	3	40	18	11	7	19	4	13	42	
Ofaveolata008117	10	49	9	0	8	9	2	2	10	0	0	15	6	0	6	2	0	6	52	
Ofaveolata008118	165	303	24	44	11	99	81	18	30	1	0	41	36	26	5	33	2	18	78	
Ofaveolata008119	25	1	20	3	7	11	17	4	4	1	12	40	39	8	1	23	4	18	35	
Ofaveolata008120	2	0	0	0	4	5	0	0	8	5	0	7	7	0	0	0	0	0	5	
Ofaveolata008121	1	0	0	0	0	2	0	3	1	0	0	1	4	0	0	0	0	0	6	
Ofaveolata008122	0	3	1	6	4	5	3	2	0	0	0	5	2	0	3	3	0	5	16	
Ofaveolata008125	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	4	
Ofaveolata008126	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	
Ofaveolata008130	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	
Ofaveolata008131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Ofaveolata008132	3	0	1	0	17	6	1	0	0	0	0	6	1	0	5	1	0	3	31	
Ofaveolata008133	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	
Ofaveolata008134	2	1	0	0	0	2	0	0	0	0	0	3	3	3	0	1	0	3	0	
Ofaveolata008135	0	0	1	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	1	
Ofaveolata008137	10	7	11	1	15	10	6	0	6	0	0	19	14	1	0	16	0	13	6	
Ofaveolata008138	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ofaveolata008142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
Ofaveolata008145	0	0	0	0	0	1	0	0	0	0	6	2	0	0	0	0	0	0	1	
Ofaveolata008146	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	5	
Ofaveolata008147	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ofaveolata008149	5	0	1	0	9	6	0	2	0	0	0	14	7	3	3	10	0	2	7	
Ofaveolata008150	15	3	33	0	31	4	4	19	0	0	0	64	41	20	0	5	0	38	55	
Ofaveolata008151	4	0	1	0	4	2	0	1	0	0	0	13	5	0	0	0	0	5	16	
Ofaveolata008152	17	12	1	1	36	20	16	12	1	3	0	52	16	6	4	14	0	11	64	
Ofaveolata008155	2	0	2	0	8	5	1	0	2	0	1	32	12	8	0	2	0	3	24	
Ofaveolata008156	2	0	0	0	17	0	1	0	0	0	0	15	2	0	0	4	0	3	33	
Ofaveolata008157	1	0	0	0	2	1	3	0	0	0	0	5	4	0	0	0	0	0	4	
Ofaveolata008158	45	31	5	5	53	17	21	6	5	1	0	68	25	9	11	7	1	12	119	
Ofaveolata008159	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
Ofaveolata008160	7	0	0	0	12	0	0	0	0	0	0	13	3	0	0	2	0	4	13	
Ofaveolata008161	224	52	28	9	304	199	65	29	24	9	6	331	131	8	16	41	3	89	457	
Ofaveolata008167	15	1	0	2	12	9	4	1	0	0	0	25	13	0	0	7	0	12	35	
Ofaveolata008168	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	
Ofaveolata008169	9	0	0	1	5	7	2	0	2	0	0	22	5	0	0	2	0	1	15	
Ofaveolata008170	6	5	5	0	20	3	0	0	0	0	0	15	6	0	0	9	0	4	49	
Ofaveolata008171	15	1	4	2	21	13	10	2	0	1	0	8	16	0	0	7	0	6	30	
Ofaveolata008173	8	9	6	0	22	12	21	4	18	0	4	24	12	14	1	26	8	13	49	
Ofaveolata008175	6	0	6	0	10	3	0	4	1	0	0	9	4	3	0	1	0	7	14	
Ofaveolata008176	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	0	1	10	
Ofaveolata008178	24	5	2	0	15	11	4	7	0	0	0	33	12	0	3	9	1	14	50	
Ofaveolata008179	3	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	
Ofaveolata008180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
Ofaveolata008181	6	2	0	1	1	5	5	0	0	0	0	3	4	1	1	0	0	0	4	
Ofaveolata008184	0	0	0	0	0	2	0	1	0	0	0	2	0	0	0	0	0	0	2	
Ofaveolata008187	407	627	10	41	123	182	65	20	26	3	8	49	46	24	8	42	2	37	144	
Ofaveolata008188	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ofaveolata008189	3	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	
Ofaveolata008190	4	0	2	0	3	0	0	2	0	0	0	6	5	0	0	1	0	11	8	
Ofaveolata008191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Ofaveolata008192	4	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	5	5	
Ofaveolata008194	30	1	3	1	23	12	6	8	7	0	0	21	5	1	0	0	0	4	45	
Ofaveolata008200	17	7	5	7	25	9	7	19	6	5	3	43	49	8	1	12	0	12	55	
Ofaveolata008201	68	32	19	12	22	15	33	13	4	0	1	33	15	5	0	9	0	25	65	
Ofaveolata008202	94	80	24	1	28	37	10	9	11	0	0	82	30	28	0	16	3	27	111	
Ofaveolata008203	20	14	9	2	21	15	9	4	1	0	0	41	15	5	2	11	0	11	67	
Ofaveolata008204	35	10	10	7	36	30	30	8	15	1	0	65	46	9	0	10	0	22	108	
Ofaveolata008205	0	0	0	0	1	0	0	0	7	0	0	3	1	0	0	0	0	0	3	
Ofaveolata008207	34	6	7	2	85	24	10	13	4	4	1	67	17	3	6	1	0	22	101	
Ofaveolata008208	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	4	0	
Ofaveolata008209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Ofaveolata008210	3	0	1	0	7	2	3	0	0	0	0	1	3	0	2	0	0	0	8	
Ofaveolata008211	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	
Ofaveolata008212	0	0	1	0	5	0	3	5	0	0	0	6	4	0	0	0	0	1	3	
Ofaveolata008213	0	0	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	5	
Ofaveolata008214	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
Ofaveolata008215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Ofaveolata008216	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	
Ofaveolata008218	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
Ofaveolata008221	1	2	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	
Ofaveolata008222	39	50	13	9	3	63	26	0	0	0	0	7	16	6	0	3	2	16	11	
Ofaveolata008224	1	4	4	1	3	2	3	1	0	0	0	5	4	0	3	0	0	1	8	
Ofaveolata008225	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	
Ofaveolata008226	7	0	3	5	2	40	4	5	7	0	0	43	14	0	0	8	0	8	133	
Ofaveolata008227	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	7	
Ofaveolata008228	11	0	5	0	18	8	12	6	0	0	0	12	5	0	0	0	2	10	45	
Ofaveolata008229	13	0	14	1	49	14	19	0	0	0	0	111	68	9	0	2	0	50	69	
Ofaveolata008231	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	1	
Ofaveolata008232	3	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	2	0	
Ofaveolata008233	1	0	0	0	0	2	0	0	0	0	0	1	0	4	0	0	0	0	2	
Ofaveolata008234	80	16	18	15	85	76	33	13	23	2	5	79	43	22	10	54	9	29	199	
Ofaveolata008237	0	0	0	0	1	3	0	0	0	0	0	2	0	0	0	0	0	0	12	
Ofaveolata008238	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	10	
Ofaveolata008239	0	0	0	0	1	0	0	0	0	0	0	3	1	0	0	0	0	0	3	
Ofaveolata008240	29	6	17	4	46	25	30	17	17	0	0	116	63	19	3	47	1	40	167	
Ofaveolata008241	0	0	0	0	2	3	3	0	0	0	0	5	1	0	0	2	0	3	19	
Ofaveolata008243	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	
Ofaveolata008244	4	0	0	0	7	1	5	2	0	0	0	3	1	0	1	3	0	0	15	
Ofaveolata008245	330	208	116	50	184	375	100	96	26	10	11	397	211	45	16	148	13	171	555	
Ofaveolata008246	8	0	1	0	2	18	0	1	0	0	0	11	10	8	0	8	0	6	14	
Ofaveolata008247	80	19	17	14	179	167	40	28	36	5	11	176	89	34	8	41	7	53	280	
Ofaveolata008248	0	0	0	0	0	2	0	2	0	0	0	1	0	0	0	0	0	0	2	
Ofaveolata008249	18	0	19	4	23	19	34	15	2	5	0	143	40	1	1	4	0	41	189	
Ofaveolata008253	1	0	0	0	14	0	3	1	0	0	0	3	0	6	0	0	0	0	8	
Ofaveolata008254	16	0	3	8	30	13	7	3	4	0	1	43	18	1	6	11	0	15	59	
Ofaveolata008256	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ofaveolata008257	20	0	11	0	17	47	1	1	0	0	0	38	18	7	0	1	0	13	183	
Ofaveolata008259	2	0	1	3	12	2	8	8	4	0	0	26	8	0	0	0	1	6	5	
Ofaveolata008260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
Ofaveolata008263	5	0	2	0	8	6	6	3	0	0	0	4	4	2	0	0	0	6	33	
Ofaveolata008265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
Ofaveolata008266	0	1	0	0	1	1	0	1	0	0	0	2	0	0	0	0	0	0	1	
Ofaveolata008267	59	0	9	0	1	59	4	0	4	0	0	9	2	0	0	1	0	11	135	
Ofaveolata008270	9	0	0	1	0	23	1	0	0	5	0	0	2	0	0	0	0	0	17	
Ofaveolata008272	5	3	0	3	5	4	6	7	0	0	0	12	19	2	1	8	4	12	20	
Ofaveolata008273	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	
Ofaveolata008274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	6	
Ofaveolata008275	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
Ofaveolata008276	93	152	8	16	16	27	12	19	5	0	0	14	5	0	0	30	0	4	38	
Ofaveolata008277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Ofaveolata008281	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Ofaveolata008283	192	57	30	4	510	40	26	18	8	0	3	96	67	10	2	29	0	48	166	
Ofaveolata008284	38	17	20	2	35	51	24	12	2	1	5	64	27	11	4	26	0	30	36	
Ofaveolata008285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Ofaveolata008286	15	8	2	1	79	14	1	5	7	0	1	12	6	8	1	4	0	15	47	
Ofaveolata008287	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	2	
Ofaveolata008288	71	73	109	78	214	264	119	92	57	4	11	283	176	124	8	57	4	132	1398	
Ofaveolata008296	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	
Ofaveolata008297	26	9	3	8	34	19	11	22	6	0	0	53	31	4	0	12	0	13	70	
Ofaveolata008298	29	12	18	11	41	42	15	35	10	3	4	77	56	22	10	32	0	22	64	
Ofaveolata008299	31	9	29	4	26	21	15	14	27	0	0	54	37	53	2	17	3	18	72	
Ofaveolata008300	1	0	0	0	3	0	1	0	1	0	2	0	2	0	0	2	0	0	7	
Ofaveolata008301	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	
Ofaveolata008309	0	0	1	0	0	0	0	3	0	0	0	0	1	0	0	1	0	1	1	
Ofaveolata008310	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	
Ofaveolata008311	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Ofaveolata008312	9	0	8	0	4	3	2	9	1	0	0	29	11	14	0	16	0	3	37	
Ofaveolata008317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Ofaveolata008318	1	0	0	5	2	4	6	0	1	0	0	14	19	8	0	0	0	2	12	
Ofaveolata008320	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ofaveolata008327	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	
Ofaveolata008328	359	579	224	249	269	256	300	160	203	82	125	237	178	258	146	332	64	158	258	
Ofaveolata008329	2	1	0	0	5	11	1	0	4	0	0	14	7	6	0	0	0	4	10	
Ofaveolata008330	513	256	113	77	415	370	173	126	78	24	30	455	259	145	39	146	17	188	864	
Ofaveolata008331	6	4	0	0	4	4	0	4	0	0	0	8	3	0	0	0	0	0	17	
Ofaveolata008332	17	2	3	0	0	8	0	3	18	0	16	13	7	0	5	0	2	23	3	
Ofaveolata008333	127	27	15	1	129	60	45	5	2	7	0	100	36	13	5	8	1	32	175	
Ofaveolata008334	17	1	0	0	38	8	7	1	0	0	0	27	20	0	0	0	0	10	70	
Ofaveolata008336	0	0	0	0	2	0	0	0	0	0	0	0	0	7	0	0	0	0	7	
Ofaveolata008338	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	3	
Ofaveolata008339	93	40	11	6	218	20	36	14	26	0	4	76	58	14	19	13	2	13	93	
Ofaveolata008340	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	
Ofaveolata008341	2048	580	681	191	1661	1616	736	525	228	67	75	1905	1331	405	190	606	60	851	3471	
Ofaveolata008342	18	4	9	1	39	31	21	2	10	0	0	57	33	8	2	28	1	21	98	
Ofaveolata008343	54	9	7	0	48	41	9	3	0	0	0	55	16	5	2	4	0	21	114	
Ofaveolata008345	20	10	3	3	37	11	4	5	3	0	1	42	22	3	1	7	0	12	44	
Ofaveolata008347	20	0	13	16	45	26	14	12	21	7	3	122	48	17	9	14	3	27	154	
Ofaveolata008348	23	7	10	8	43	15	13	3	1	0	0	31	13	0	5	8	0	7	77	
Ofaveolata008349	17	17	20	9	36	28	10	8	1	0	0	32	18	6	1	10	0	10	47	
Ofaveolata008350	107	24	41	10	93	113	43	64	7	0	3	176	63	48	5	28	1	55	192	
Ofaveolata008351	4	0	0	0	2	3	1	0	0	0	0	0	1	0	0	0	0	2	6	
Ofaveolata008352	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
Ofaveolata008353	43	24	6	2	145	24	13	5	1	2	4	37	14	1	23	15	0	16	40	
Ofaveolata008354	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ofaveolata008355	13	3	1	2	11	16	5	1	1	0	0	18	13	0	3	17	1	13	42	
Ofaveolata008356	94	13	7	7	283	52	21	5	2	0	6	61	31	0	14	21	0	21	108	
Ofaveolata008357	10	2	5	3	11	18	6	4	3	0	2	21	11	0	1	5	1	8	20	
Ofaveolata008358	46	10	20	4	102	37	18	19	2	0	0	151	81	11	7	7	1	26	97	
Ofaveolata008359	59	12	63	14	113	75	44	37	14	2	3	188	118	21	2	55	3	61	248	
Ofaveolata008360	113	24	50	17	151	145	46	31	21	4	13	214	102	33	11	50	2	60	425	
Ofaveolata008361	1	0	3	1	8	0	1	0	0	0	0	20	3	0	0	2	0	1	11	
Ofaveolata008362	40	30	17	0	43	43	13	9	0	0	1	73	47	14	11	12	0	30	94	
Ofaveolata008363	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	1	
Ofaveolata008364	2349	1278	731	337	2337	1982	1121	857	319	97	162	1994	1393	620	242	880	91	961	4813	
Ofaveolata008368	32	22	249	29	213	839	206	52	130	16	7	1061	554	125	5	179	31	427	115	
Ofaveolata008369	12	16	34	3	18	12	13	37	6	3	1	83	55	33	1	49	3	25	55	
Ofaveolata008370	7	0	5	0	21	12	8	7	1	0	0	33	10	1	0	8	0	11	72	
Ofaveolata008371	141	21	70	18	212	187	75	52	21	1	19	235	138	21	19	116	7	68	135	
Ofaveolata008372	68	5	45	1	121	61	54	32	11	6	3	221	110	14	2	12	0	86	200	
Ofaveolata008374	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	3	7	
Ofaveolata008375	1	0	0	0	2	0	1	0	0	0	0	1	1	0	0	0	0	0	5	
Ofaveolata008376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
Ofaveolata008377	141	71	45	9	116	146	62	29	15	5	16	137	105	20	17	52	7	92	191	
Ofaveolata008379	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	
Ofaveolata008380	21	1	2	0	10	1	0	0	0	0	0	9	2	0	0	0	0	4	19	
Ofaveolata008381	1	0	4	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	
Ofaveolata008382	89	47	42	5	27	47	34	11	4	0	0	120	117	41	0	43	1	34	198	
Ofaveolata008383	2090	823	658	305	1535	1740	792	424	250	75	93	1948	1191	489	146	703	61	714	4041	
Ofaveolata008384	30	10	13	10	55	15	26	17	16	0	5	62	29	6	7	14	0	38	63	
Ofaveolata008388	5	0	0	0	3	2	0	1	0	0	0	16	2	0	0	0	0	6	7	
Ofaveolata008390	2	3	0	0	2	0	0	0	0	0	0	1	0	6	0	0	0	1	12	
Ofaveolata008392	6	0	1	1	5	12	3	1	0	0	0	15	3	0	0	1	1	1	8	
Ofaveolata008394	31	4	1	0	7	36	3	6	1	0	0	19	4	0	0	0	0	4	193	
Ofaveolata008395	4	3	7	3	20	8	6	3	1	1	0	25	17	2	1	1	0	10	24	
Ofaveolata008396	10	0	5	0	15	8	8	2	1	0	0	6	4	2	0	5	0	2	18	
Ofaveolata008397	2	0	3	0	2	4	0	0	0	0	0	3	13	0	0	0	0	2	6	
Ofaveolata008400	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Ofaveolata008402	101	73	21	9	67	44	16	17	5	0	0	84	43	7	7	17	0	39	113	
Ofaveolata008403	1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	2	
Ofaveolata008405	4	0	0	0	1	8	3	0	0	0	0	0	0	0	0	0	0	3	3	
Ofaveolata008406	1	0	0	0	3	3	1	1	0	0	0	8	6	0	0	0	0	0	6	
Ofaveolata008407	3	1	4	2	4	8	2	0	7	0	1	10	7	7	1	5	2	4	3	
Ofaveolata008408	1	1	0	0	4	1	1	3	3	0	1	17	10	3	0	2	0	1	9	
Ofaveolata008409	0	0	0	0	4	2	0	0	0	0	0	4	2	0	0	0	0	0	6	
Ofaveolata008410	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	
Ofaveolata008411	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
Ofaveolata008412	11	4	3	1	23	9	5	11	6	1	0	58	30	6	3	12	0	10	73	
Ofaveolata008413	4	7	5	0	3	4	8	0	0	0	0	19	18	17	0	0	0	6	24	
Ofaveolata008415	6	0	0	0	18	3	13	0	1	0	0	20	13	1	0	1	0	9	26	
Ofaveolata008416	2	9	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	1	4	
Ofaveolata008417	96	71	23	5	68	35	21	13	29	0	7	58	42	19	1	26	0	17	63	
Ofaveolata008418	3	0	0	0	2	0	9	0	0	0	0	15	4	0	0	0	0	0	4	
Ofaveolata008419	0	0	0	0	0	4	0	0	0	0	0	17	6	0	0	0	0	0	5	
Ofaveolata008420	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	3	
Ofaveolata008421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
Ofaveolata008422	0	0	0	0	0	2	0	0	0	0	0	4	0	1	0	0	0	0	6	
Ofaveolata008423	52	10	4	15	28	42	8	1	1	0	3	65	29	15	8	8	3	12	102	
Ofaveolata008424	8	0	15	1	13	12	6	4	23	7	1	19	9	10	2	11	4	10	44	
Ofaveolata008425	38	0	9	3	42	17	11	3	7	0	0	45	22	7	5	7	1	6	63	
Ofaveolata008426	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	2	6	
Ofaveolata008427	3	0	0	0	7	0	0	4	0	0	0	3	1	0	0	2	0	3	5	
Ofaveolata008428	15	3	0	0	7	7	2	0	0	0	0	6	4	0	0	8	0	5	22	
Ofaveolata008429	25	3	7	0	38	21	8	7	6	1	0	32	17	1	0	10	0	16	72	
Ofaveolata008430	10	0	2	1	21	22	7	4	0	0	0	28	21	3	0	0	0	3	40	
Ofaveolata008431	5	0	3	1	17	8	1	0	0	0	0	27	12	0	0	2	0	7	30	
Ofaveolata008432	0	0	0	0	5	4	0	1	1	0	0	5	4	1	0	1	0	0	9	
Ofaveolata008433	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	
Ofaveolata008435	0	0	0	4	5	0	0	2	0	0	0	7	7	0	0	2	0	1	16	
Ofaveolata008437	27	3	18	3	37	48	29	17	10	4	9	36	17	8	10	16	1	33	47	
Ofaveolata008438	14	0	9	5	20	13	8	10	2	1	1	45	24	6	2	15	0	9	64	
Ofaveolata008439	1	0	0	0	1	2	1	0	0	0	0	5	0	0	0	0	0	0	6	
Ofaveolata008440	121	117	35	6	79	113	24	20	24	4	2	147	66	30	12	36	2	133	296	
Ofaveolata008441	1735	659	553	261	1119	1352	738	411	201	69	115	1495	1167	463	154	617	39	816	2496	
Ofaveolata008442	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	
Ofaveolata008443	1120	867	851	541	1106	1198	1034	868	421	155	241	1233	1126	815	325	1021	173	901	2733	
Ofaveolata008444	19	7	12	0	4	4	2	4	0	1	0	30	17	19	1	3	0	3	31	
Ofaveolata008445	7	20	3	0	12	7	3	1	5	0	0	19	5	16	0	24	0	5	9	
Ofaveolata008446	8	0	0	0	4	1	0	0	0	0	0	13	11	0	0	0	0	3	25	
Ofaveolata008447	15	41	327	39	156	156	147	611	188	21	5	1267	759	285	4	256	32	373	739	
Ofaveolata008448	24	5	13	0	8	21	10	7	0	0	0	65	41	11	0	1	0	14	53	
Ofaveolata008449	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	6	
Ofaveolata008450	31	5	31	9	62	49	19	6	3	2	2	88	55	19	2	23	2	42	90	
Ofaveolata008451	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	4	
Ofaveolata008452	23	22	6	6	36	18	16	1	0	2	0	42	21	3	0	11	0	12	63	
Ofaveolata008453	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ofaveolata008454	3	0	1	0	9	3	1	5	2	0	0	5	6	1	0	13	0	0	26	
Ofaveolata008455	41	2	10	0	58	5	9	6	7	0	0	69	26	7	3	2	0	23	32	
Ofaveolata008456	1	0	0	0	5	0	0	1	3	0	0	2	0	0	0	0	0	0	6	
Ofaveolata008458	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ofaveolata008460	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
Ofaveolata008461	44	8	14	5	60	32	13	24	12	3	2	129	44	14	5	21	6	42	87	
Ofaveolata008462	3	0	0	0	3	4	1	0	0	0	0	4	0	0	0	0	1	4	16	
Ofaveolata008463	1	0	1	0	1	2	1	0	0	0	0	0	1	1	1	1	0	1	1	
Ofaveolata008464	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Ofaveolata008465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
