"","Of.098","Of.104","Of.112","Of.114","Of.126","Of.130","Of.142","Of.150","Of.152","Of.154","Of.158","Of.162","Of.170","Of.180","Of.200","Of.202","Of.216","Of.224","Of.266"
"Ofaveolata000236",0,0,0,0,21,3,0,0,0,0,0,10,5,1,0,0,0,5,7
"Ofaveolata000240",2,0,4,1,2,7,1,1,0,0,1,12,14,1,0,2,0,2,7
"Ofaveolata000242",3,0,5,0,3,3,2,2,8,0,1,22,26,2,0,1,1,9,29
"Ofaveolata000243",7,0,0,2,4,9,4,0,1,0,0,13,15,0,0,0,0,6,19
"Ofaveolata000247",16,6,4,5,28,15,5,5,0,0,0,17,18,1,0,25,0,6,27
"Ofaveolata000249",92,48,80,79,226,96,165,67,76,7,18,261,218,90,7,158,9,198,153
"Ofaveolata000250",10,17,13,1,30,17,1,2,0,0,5,29,12,2,0,7,0,17,99
"Ofaveolata000251",5,0,8,4,19,7,2,24,3,0,0,13,16,5,1,6,0,8,24
"Ofaveolata000252",12,7,0,0,1,1,1,0,0,0,0,11,0,0,0,0,1,3,9
"Ofaveolata000254",4,0,1,0,3,1,0,4,0,0,0,17,7,10,0,3,0,0,14
"Ofaveolata000255",5,1,1,0,9,5,9,0,0,0,0,27,14,4,1,19,0,0,19
"Ofaveolata000256",9,2,3,1,14,17,1,0,0,0,0,23,9,1,0,10,1,10,15
"Ofaveolata000259",7,4,0,1,4,37,1,2,1,0,0,3,0,1,0,0,0,5,10
"Ofaveolata000263",104,267,21,7,45,28,15,3,4,4,3,62,36,7,14,15,0,121,292
"Ofaveolata000265",6,1,0,0,22,4,2,3,0,0,0,18,13,0,0,14,0,1,4
"Ofaveolata000271",0,0,0,0,1,11,1,0,1,0,0,4,7,0,0,0,0,3,11
"Ofaveolata000272",1,0,2,0,6,15,1,4,0,1,0,10,4,0,0,4,0,4,21
"Ofaveolata000273",32,15,22,2,25,0,6,2,8,0,0,19,4,3,10,5,0,3,35
"Ofaveolata000277",220,82,199,115,276,236,192,112,68,14,47,505,344,167,102,283,12,246,489
"Ofaveolata000279",48,25,19,20,91,61,44,11,36,0,0,82,57,28,15,17,3,26,144
"Ofaveolata000292",29,1,14,6,40,31,11,2,12,0,0,29,17,0,0,1,0,15,103
"Ofaveolata000298",8,0,5,0,26,7,1,3,0,0,0,14,5,0,2,2,0,6,17
"Ofaveolata000299",9,1,4,2,12,1,5,0,0,3,1,21,8,1,0,19,0,2,17
"Ofaveolata000300",0,0,0,0,9,1,0,1,7,0,0,13,4,1,0,0,0,1,16
"Ofaveolata000302",37,17,15,8,32,33,20,9,6,1,0,49,32,22,1,3,3,17,61
"Ofaveolata000304",15,13,23,5,29,36,6,6,4,0,1,51,20,8,2,5,0,11,62
"Ofaveolata000309",57,6,0,0,73,17,9,9,4,0,0,28,10,0,2,5,0,14,49
"Ofaveolata000312",1,0,0,0,4,4,1,1,0,0,0,27,8,0,0,8,2,8,29
"Ofaveolata000316",15,5,6,0,50,11,1,1,6,0,0,12,6,0,0,0,0,0,36
