"","Of.098","Of.104","Of.112","Of.114","Of.126","Of.130","Of.142","Of.150","Of.152","Of.154","Of.158","Of.162","Of.170","Of.180","Of.200","Of.202","Of.216","Of.224","Of.266"
"Ofaveolata004092",6,1,0,1,3,5,1,5,1,0,0,13,4,0,0,7,0,2,20
"Ofaveolata004094",4,0,4,1,14,0,8,5,0,0,0,15,12,1,1,0,0,6,27
"Ofaveolata004096",10,0,1,0,1,5,2,0,0,0,0,10,6,0,0,0,0,5,20
"Ofaveolata004097",9,15,7,0,18,10,6,10,19,5,4,17,11,9,0,12,3,6,39
"Ofaveolata004098",30,16,0,10,5,30,5,1,2,0,6,21,21,1,25,20,0,13,17
"Ofaveolata004105",97,27,26,17,340,66,31,2,5,0,9,111,64,13,7,2,1,39,211
"Ofaveolata004111",13,5,9,3,19,9,19,1,6,0,0,31,16,3,4,13,0,12,46
"Ofaveolata004116",25,2,5,0,17,38,4,12,0,0,0,39,18,0,0,6,0,29,128
"Ofaveolata004124",38,24,6,5,42,32,21,10,2,0,3,60,29,5,0,6,1,4,87
"Ofaveolata004125",3,0,4,0,7,8,0,2,0,0,0,10,9,0,0,4,0,0,18
"Ofaveolata004131",19,0,1,0,27,10,6,1,0,5,0,45,21,2,2,14,0,4,26
"Ofaveolata004140",6,0,6,0,7,29,2,6,0,0,0,12,8,0,0,1,0,14,68
"Ofaveolata004151",11,4,0,0,12,8,3,0,0,0,0,8,3,0,0,10,0,4,14
"Ofaveolata004154",10,9,24,4,0,16,9,0,22,0,4,42,29,4,12,2,0,16,14
"Ofaveolata004201",19,0,1,0,24,6,0,2,12,0,0,28,4,1,0,0,0,1,25
"Ofaveolata004202",1,1,1,0,9,3,6,3,0,0,0,19,7,3,0,12,0,2,9
"Ofaveolata004204",11,7,15,1,28,7,6,1,2,0,0,69,24,0,0,0,0,21,53
"Ofaveolata004208",0,3,1,0,6,1,1,2,0,0,0,19,8,1,1,10,0,3,24
"Ofaveolata004211",98,22,60,3,197,63,31,20,9,1,6,246,76,17,13,38,1,67,257
"Ofaveolata004220",3,0,1,0,10,1,0,0,0,0,0,13,2,0,0,0,0,4,11
"Ofaveolata004226",40,5,35,15,65,90,32,22,8,5,1,98,70,19,0,30,4,45,187
"Ofaveolata004227",22,9,6,2,39,23,20,1,5,2,0,60,26,8,3,21,0,31,75
"Ofaveolata004228",52,19,36,12,76,62,28,13,14,0,4,116,77,22,5,23,2,29,188
"Ofaveolata004230",18,37,9,3,29,34,10,5,0,0,0,41,35,6,0,26,2,23,58
"Ofaveolata004231",0,0,2,0,3,0,4,4,0,1,0,42,15,0,0,0,2,8,8
"Ofaveolata004233",6,0,2,0,6,25,1,0,0,1,0,8,2,6,0,1,0,1,57
"Ofaveolata004234",137,32,10,4,423,59,24,12,8,2,10,124,51,26,14,23,1,30,203
"Ofaveolata004235",11,6,4,4,5,4,10,2,6,0,1,18,5,5,1,6,4,8,23
"Ofaveolata004236",308,94,112,74,551,853,188,77,59,0,25,521,260,73,23,118,12,229,1104
"Ofaveolata004238",21,5,15,4,37,11,3,9,2,0,0,50,30,2,0,2,0,9,68
"Ofaveolata004257",6,0,8,0,2,0,1,3,0,0,0,12,4,1,31,0,0,2,10
"Ofaveolata004262",12,4,7,0,26,25,16,22,8,0,4,40,15,20,0,0,0,15,27
"Ofaveolata004264",9,9,8,4,41,12,11,7,3,0,1,66,35,9,5,1,0,25,75
"Ofaveolata004265",16,6,7,10,24,13,12,18,10,0,2,52,37,6,0,52,2,16,72
"Ofaveolata004272",206,41,67,8,239,131,32,85,13,5,0,330,186,64,3,67,0,141,417
"Ofaveolata004273",13,0,0,0,22,26,4,6,1,0,0,16,6,0,1,15,0,17,41
"Ofaveolata004274",66,33,15,1,22,52,12,8,2,1,0,43,22,14,0,18,0,25,97
"Ofaveolata004276",7,18,5,1,6,14,6,3,5,0,5,17,17,16,0,24,4,1,21
"Ofaveolata004285",5,1,18,6,12,23,13,7,12,0,0,66,34,15,1,17,1,47,13
"Ofaveolata004287",6,0,1,1,0,12,6,0,0,0,0,8,9,0,0,0,0,5,18
"Ofaveolata004301",43,17,4,1,49,34,4,4,6,0,0,50,46,17,0,14,0,20,77
"Ofaveolata004304",36,33,13,1,89,34,29,13,8,0,6,88,43,1,3,15,0,25,77
"Ofaveolata004305",35,53,6,2,14,49,17,10,8,0,0,32,9,2,2,23,1,7,29
"Ofaveolata004307",26,40,5,11,22,74,15,15,3,2,6,42,17,12,0,32,0,15,46
"Ofaveolata004312",4,1,0,0,5,10,2,6,0,0,0,1,2,1,0,0,1,2,15
"Ofaveolata004319",6,5,1,0,10,4,4,4,0,0,3,15,3,1,0,6,0,4,10
"Ofaveolata004322",25,8,6,0,28,18,17,5,10,0,2,31,11,2,0,17,0,20,92
"Ofaveolata004324",6,4,0,0,6,6,1,1,0,0,0,12,5,0,0,1,0,0,19
"Ofaveolata004325",2,0,6,0,3,5,6,8,1,0,0,11,5,7,0,0,0,0,10
"Ofaveolata004326",113,72,17,9,98,109,35,24,6,10,12,98,70,30,17,46,8,42,198
"Ofaveolata004327",28,6,6,0,20,35,19,7,4,0,0,14,15,6,0,5,0,5,92
"Ofaveolata004330",6,2,9,1,15,11,0,0,0,1,1,24,15,2,0,4,0,4,44
"Ofaveolata004335",25,1,4,0,19,24,15,4,7,1,0,41,26,9,4,7,0,10,61
"Ofaveolata004336",77,5,26,2,85,50,33,10,13,2,8,135,68,31,6,38,1,36,105
"Ofaveolata004341",34,3,6,3,41,27,7,6,7,0,0,72,18,10,7,13,0,13,77
"Ofaveolata004347",11,2,5,6,52,15,8,6,5,0,0,28,11,3,0,1,0,2,110
"Ofaveolata004355",14,4,0,0,5,27,1,1,0,0,0,10,1,7,0,2,0,1,34
"Ofaveolata004356",10,8,0,0,16,7,7,6,0,0,0,10,6,0,0,1,2,5,41
"Ofaveolata004357",27,13,0,4,5,15,3,0,2,0,0,10,11,10,0,2,0,2,55
"Ofaveolata004358",6,4,0,0,17,10,3,3,0,2,0,12,10,6,4,13,0,5,22
"Ofaveolata004361",28,22,29,10,11,36,23,9,18,3,8,32,45,59,15,54,11,29,12
"Ofaveolata004366",7,0,8,1,31,11,15,7,3,0,0,39,19,3,0,2,0,2,27
"Ofaveolata004367",159,155,7,13,47,68,37,8,2,0,0,117,43,20,1,25,6,25,205
"Ofaveolata004368",37,2,27,0,47,20,10,8,9,0,2,71,45,21,1,4,0,24,90
"Ofaveolata004369",9,0,10,0,9,7,4,5,3,0,0,3,2,5,0,4,0,9,18
"Ofaveolata004370",14,0,8,11,24,16,15,18,3,0,0,58,31,3,1,11,0,15,98
"Ofaveolata004372",167,32,58,23,0,43,153,0,29,1,2,11,26,0,3,4,0,7,33
"Ofaveolata004375",342,92,155,87,3,71,433,0,139,0,4,54,61,0,7,27,7,7,48
"Ofaveolata004379",16,0,1,0,50,3,1,0,5,0,8,6,5,7,4,0,0,1,11
"Ofaveolata004380",69,30,39,18,93,89,35,21,12,5,1,167,73,23,5,34,0,54,136
"Ofaveolata004385",16,6,4,1,33,13,4,4,0,7,9,22,11,1,0,3,0,3,18
"Ofaveolata004389",104,21,0,0,23,30,0,0,0,0,0,14,6,0,0,0,0,5,92
"Ofaveolata004391",1,0,4,0,2,1,0,2,1,0,0,12,3,10,0,3,0,3,29
"Ofaveolata004393",25,7,22,2,17,23,5,9,14,0,6,54,24,3,0,23,0,19,46
"Ofaveolata004394",3,0,1,0,16,7,1,0,0,9,1,31,12,9,0,7,0,14,18
"Ofaveolata004395",2,0,0,0,2,5,0,0,0,0,0,6,2,0,7,0,0,12,16
"Ofaveolata004400",27,19,10,17,32,31,8,6,7,4,0,40,11,0,4,9,1,16,72
"Ofaveolata004403",91,36,13,0,470,55,20,24,2,0,24,90,50,5,2,28,1,40,128
"Ofaveolata004406",48,19,9,14,81,64,27,14,1,0,1,89,31,12,4,22,1,37,117
"Ofaveolata004407",10,10,8,0,10,17,6,2,7,0,0,24,4,2,0,19,0,7,31
"Ofaveolata004408",27,3,3,1,35,18,3,7,2,0,0,35,17,1,4,11,1,17,30
"Ofaveolata004409",34,7,12,1,45,35,16,11,4,0,1,45,43,10,9,16,0,20,65
"Ofaveolata004414",4,1,0,0,10,8,0,6,0,0,0,8,2,3,0,8,0,0,21
"Ofaveolata004417",3,0,7,0,5,13,0,3,0,0,0,12,12,0,1,0,0,1,4
"Ofaveolata004418",1,0,24,0,17,6,16,13,2,0,0,61,20,4,0,6,0,8,74
"Ofaveolata004419",89,32,32,23,54,51,27,29,12,0,3,73,64,28,5,50,5,35,90
"Ofaveolata004420",6,0,4,0,17,8,3,2,1,0,0,14,5,0,3,3,0,8,22
"Ofaveolata004422",65,34,2,7,12,13,15,5,1,1,0,53,12,5,0,7,1,9,49
"Ofaveolata004423",156,127,80,56,224,208,118,58,41,0,11,201,131,64,2,74,5,127,487
"Ofaveolata004425",4,0,0,0,6,4,6,4,4,1,0,24,8,2,0,4,0,4,23
"Ofaveolata004434",128,25,79,5,241,98,30,35,16,5,5,277,115,43,0,91,3,72,208
"Ofaveolata004436",1,1,4,2,10,1,4,5,0,0,0,9,4,2,0,3,4,6,27
"Ofaveolata004437",16,0,12,1,8,6,5,7,4,0,2,29,17,5,0,4,2,9,31
"Ofaveolata004438",53,16,25,14,104,53,33,17,21,0,0,112,55,7,12,37,7,42,107
"Ofaveolata004446",12,0,0,0,6,5,0,3,0,4,0,10,0,0,0,6,0,1,10
"Ofaveolata004449",50,2,14,15,105,36,15,9,11,0,2,80,32,10,12,54,1,25,115
"Ofaveolata004450",80,21,36,9,83,70,44,7,7,2,7,115,72,22,5,32,1,52,200
"Ofaveolata004451",783,222,258,53,1038,708,360,165,94,25,18,1037,591,141,74,278,8,429,1228
"Ofaveolata004455",42,1,8,1,110,22,32,8,0,0,6,59,20,5,2,7,1,18,98
"Ofaveolata004457",307,94,60,29,414,298,134,68,32,1,6,408,146,43,53,112,4,171,653
"Ofaveolata004459",11,4,1,2,16,9,2,7,1,0,0,26,12,0,1,0,0,3,33
"Ofaveolata004461",6,2,1,4,26,14,0,3,0,0,0,29,11,0,0,3,0,11,22
"Ofaveolata004462",4,0,1,0,2,0,2,0,0,0,0,10,11,0,0,0,0,3,10
"Ofaveolata004464",6,1,1,3,14,4,5,4,4,0,0,14,12,0,0,6,0,5,11
"Ofaveolata004465",6,0,3,0,33,5,8,0,1,0,0,27,19,3,6,0,0,17,35
"Ofaveolata004466",28,16,40,4,11,31,15,5,5,0,2,78,27,5,13,19,1,61,53
"Ofaveolata004467",3,0,0,0,11,8,0,0,0,0,0,5,2,0,0,0,0,3,39
"Ofaveolata004468",19,2,5,0,22,25,7,5,1,0,3,21,7,0,0,4,0,3,28
"Ofaveolata004469",47,77,11,12,25,70,22,1,18,0,0,19,18,0,12,13,0,16,35
"Ofaveolata004470",44,29,61,6,209,144,58,65,28,0,9,338,120,56,9,53,8,156,361
"Ofaveolata004474",18,0,4,0,7,9,6,3,0,0,0,15,9,0,0,16,0,7,7
"Ofaveolata004475",2,0,0,0,2,1,2,0,0,0,0,11,0,0,8,0,0,0,10
"Ofaveolata004477",36,10,14,5,42,31,10,7,13,1,1,69,32,11,0,8,0,13,101
"Ofaveolata004478",53,1,12,14,92,56,14,1,10,0,5,103,48,10,0,18,0,30,157
"Ofaveolata004480",2,0,1,0,5,3,0,0,0,0,0,11,4,5,0,0,0,3,13
"Ofaveolata004483",88,28,18,9,112,49,18,29,4,7,8,50,33,1,0,12,0,23,100
"Ofaveolata004486",12,1,6,0,31,9,1,2,4,0,0,50,22,2,6,10,0,4,43
"Ofaveolata004487",42,29,25,2,103,75,13,18,9,2,6,125,62,34,3,21,3,36,232
"Ofaveolata004491",7,0,2,0,16,8,0,8,0,0,0,20,7,0,5,0,0,0,14
"Ofaveolata004492",14,15,17,11,27,24,24,3,0,0,0,16,15,0,5,4,3,15,68
"Ofaveolata004494",365,311,46,46,77,575,194,60,24,7,6,56,91,86,12,67,3,41,470
"Ofaveolata004497",44,11,13,0,39,54,20,8,4,0,3,57,21,8,5,11,0,22,75
"Ofaveolata004498",26,1,2,1,24,23,4,3,1,0,0,25,7,0,0,6,1,6,62
"Ofaveolata004499",2,0,12,0,27,9,1,4,0,0,0,48,22,3,2,3,1,13,9
"Ofaveolata004500",5,0,3,0,2,13,1,1,0,0,0,4,7,3,0,1,0,0,23
"Ofaveolata004501",17,17,2,6,31,14,10,0,6,5,1,25,10,5,0,6,2,3,89
"Ofaveolata004504",6,0,0,0,11,2,4,5,1,0,0,6,6,0,0,0,0,4,18
"Ofaveolata004506",67,16,14,6,56,24,6,7,18,2,0,54,26,0,0,11,0,9,79
"Ofaveolata004507",15,3,5,0,13,6,1,7,0,0,0,3,5,5,1,0,0,1,17
"Ofaveolata004508",41,6,34,14,154,44,5,12,6,2,6,104,46,6,58,41,3,35,70
"Ofaveolata004526",75,51,89,5,118,154,61,71,38,4,3,244,94,50,9,57,4,100,218
"Ofaveolata004533",1,12,1,0,0,1,0,0,0,0,9,2,1,0,0,0,0,1,42
"Ofaveolata004535",7,19,0,0,11,7,0,0,0,0,0,11,2,0,0,0,0,9,7
"Ofaveolata004536",5,10,1,2,2,11,1,1,0,2,1,7,7,0,0,6,0,5,3
"Ofaveolata004537",14,11,0,0,20,1,1,0,1,0,0,2,0,0,0,0,0,0,7
"Ofaveolata004538",155,38,21,5,211,52,23,18,7,0,15,113,61,4,46,45,2,31,154
"Ofaveolata004539",37,20,5,1,42,31,5,2,7,1,0,71,29,3,0,12,0,11,102
"Ofaveolata004540",27,6,14,15,14,36,3,5,17,0,0,19,11,0,0,14,0,15,43
"Ofaveolata004542",4,0,0,0,16,8,0,0,0,0,0,10,2,0,0,0,0,0,14
"Ofaveolata004545",14,0,1,0,6,7,3,3,3,0,0,17,11,1,5,7,0,6,11
"Ofaveolata004548",2,0,0,0,9,3,0,0,0,0,0,18,2,0,0,0,0,2,12
"Ofaveolata004549",7,0,5,0,17,8,8,3,1,0,0,34,12,4,0,9,0,8,13
"Ofaveolata004559",12,3,0,0,4,2,3,0,0,0,0,22,7,0,0,0,0,3,13
"Ofaveolata004600",370,116,134,54,743,187,108,136,81,9,39,618,396,66,88,262,6,280,475
"Ofaveolata004601",11,0,3,6,14,10,5,1,9,0,0,31,12,9,1,7,0,2,25
"Ofaveolata004603",375,369,134,77,489,299,172,133,83,21,28,435,226,132,40,199,12,166,995
"Ofaveolata004606",89,145,9,27,31,124,21,5,3,5,7,56,34,7,0,8,0,17,141
"Ofaveolata004607",8,0,6,0,15,11,7,0,0,0,0,13,7,0,0,9,0,0,44
"Ofaveolata004608",46,0,14,14,125,21,9,7,0,0,4,49,25,0,3,8,2,31,63
"Ofaveolata004610",25,48,64,19,91,89,94,25,34,7,7,210,96,53,18,59,5,94,256
"Ofaveolata004612",33,15,7,2,65,40,14,5,19,2,0,81,35,10,2,15,1,26,103
"Ofaveolata004613",29,1,7,2,24,16,4,5,2,0,0,42,13,0,0,1,0,9,41
"Ofaveolata004618",9,1,7,3,14,9,4,4,2,0,0,16,10,3,2,2,0,5,13
"Ofaveolata004629",13,3,7,1,31,12,14,4,1,0,0,17,11,1,1,4,0,10,41
"Ofaveolata004630",82,22,18,4,62,53,10,12,1,1,0,63,35,35,0,31,0,35,138
"Ofaveolata004634",5,0,11,0,2,7,1,0,0,0,0,4,10,3,0,0,0,6,2
"Ofaveolata004635",20,2,6,4,19,7,4,1,10,1,0,28,11,9,0,0,0,3,31
"Ofaveolata004636",8,1,5,0,14,8,2,7,0,0,0,33,9,0,1,18,0,12,32
"Ofaveolata004637",0,0,0,1,11,0,0,2,2,0,0,5,5,0,0,2,1,2,19
"Ofaveolata004639",4,7,2,6,26,10,0,2,0,0,0,40,14,0,1,1,0,12,59
"Ofaveolata004641",55,47,4,7,33,48,6,8,13,2,0,39,18,9,1,11,1,9,67
"Ofaveolata004643",3,4,1,0,21,8,12,1,3,0,0,20,22,2,0,4,2,8,45
"Ofaveolata004648",16,2,4,0,34,4,0,6,1,0,0,15,5,1,3,0,0,12,17
"Ofaveolata004649",279,715,1,11,46,123,8,2,0,2,8,69,24,0,70,32,0,254,1447
"Ofaveolata004654",8,0,3,10,2,3,6,0,0,0,0,12,7,0,0,9,0,0,44
"Ofaveolata004701",4,3,0,6,13,4,3,1,0,0,0,8,2,0,0,7,0,4,11
"Ofaveolata004702",20,0,10,0,16,13,6,4,2,0,0,20,13,8,0,5,5,16,40
"Ofaveolata004705",3,0,2,0,5,3,3,6,8,1,0,11,9,5,0,10,0,7,11
"Ofaveolata004707",9,18,27,44,34,18,42,61,73,28,16,40,19,49,16,49,9,24,62
"Ofaveolata004708",24,5,7,1,118,24,5,0,0,0,0,33,18,0,1,13,0,17,41
"Ofaveolata004728",33,6,10,1,23,14,13,3,0,0,1,21,9,1,1,14,3,7,20
"Ofaveolata004729",1,0,0,0,22,1,2,0,0,0,0,5,8,0,0,2,0,4,13
"Ofaveolata004742",15,9,9,0,7,21,8,3,3,0,0,27,13,6,1,4,0,18,36
"Ofaveolata004744",13,7,24,9,22,21,25,8,7,0,1,33,19,2,1,18,5,19,57
"Ofaveolata004747",19,7,17,10,25,7,14,7,5,0,21,61,29,1,0,9,1,42,14
"Ofaveolata004758",5,0,82,6,64,11,10,40,15,2,11,178,97,8,0,22,0,62,130
"Ofaveolata004759",106,18,17,13,46,98,22,13,13,2,5,162,108,44,19,85,12,177,15
"Ofaveolata004761",1042,676,962,528,1583,1171,1055,495,533,82,137,1622,1247,754,87,836,65,691,922
"Ofaveolata004764",19,9,5,4,21,19,10,14,1,0,0,38,22,6,0,2,0,12,37
"Ofaveolata004765",9,4,9,0,15,9,0,2,0,0,6,12,13,0,1,1,0,2,24
"Ofaveolata004769",82,142,76,24,207,92,96,67,76,10,2,209,86,79,88,138,16,94,128
"Ofaveolata004770",772,584,356,215,1533,940,524,593,223,51,141,729,543,270,158,355,49,459,3182
"Ofaveolata004773",9,2,6,0,8,6,5,1,2,0,0,17,12,5,0,7,1,4,18
"Ofaveolata004786",16,0,11,0,38,7,11,10,7,0,1,28,21,1,4,2,1,5,51
"Ofaveolata004787",7,0,0,0,18,3,10,2,0,0,0,18,14,5,7,0,0,9,44
"Ofaveolata004788",7,0,3,4,2,4,3,0,2,0,0,17,9,2,0,0,0,3,19
"Ofaveolata004789",12,0,9,1,21,9,3,1,4,0,0,35,12,0,4,20,0,9,33
"Ofaveolata004791",6,0,0,2,10,5,2,0,0,0,0,4,8,0,0,0,0,0,28
"Ofaveolata004795",45,4,15,14,51,63,25,15,16,0,0,97,44,13,3,0,0,19,139
"Ofaveolata004798",18,6,12,4,26,32,11,0,0,0,0,41,18,7,0,3,0,12,33
"Ofaveolata004799",24,12,9,11,36,16,10,5,9,0,2,51,25,5,1,22,0,12,69
"Ofaveolata004800",5,1,3,1,24,9,4,0,0,0,0,8,12,4,0,8,0,1,16
"Ofaveolata004803",6,0,6,1,11,8,0,2,0,0,1,7,5,3,0,2,0,2,18
"Ofaveolata004807",187,82,100,44,340,157,89,27,31,6,12,485,119,24,27,110,2,142,389
"Ofaveolata004809",13,8,17,1,0,16,7,0,8,0,0,139,59,15,2,8,1,41,44
"Ofaveolata004810",55,5,31,3,76,37,35,35,22,1,5,211,86,14,8,29,9,38,229
"Ofaveolata004811",2,0,0,2,29,4,4,9,0,0,0,22,3,0,0,5,0,3,9
"Ofaveolata004812",10,0,5,0,11,6,0,7,3,0,0,30,6,0,0,0,0,8,11
"Ofaveolata004813",9,8,12,3,12,16,31,4,5,0,1,28,10,2,0,15,3,25,48
"Ofaveolata004826",1,0,1,0,2,2,13,0,0,0,0,8,6,8,0,0,0,10,0
"Ofaveolata004830",207,344,0,94,1,50,129,0,0,0,13,3,3,1,0,17,0,7,133
"Ofaveolata004836",18,0,9,0,54,21,10,8,1,0,3,37,14,0,5,8,2,8,75
"Ofaveolata004838",11,1,18,0,17,13,13,4,17,0,3,23,18,5,0,1,0,7,26
"Ofaveolata004839",6,6,1,0,9,8,0,1,0,0,0,14,2,1,0,15,0,15,23
"Ofaveolata004841",0,0,0,0,13,0,0,0,0,0,0,9,9,0,0,0,0,2,14
"Ofaveolata004842",13,0,1,1,7,11,0,1,1,0,1,23,3,7,0,2,0,3,13
"Ofaveolata004848",50,9,30,15,101,40,39,26,13,9,0,159,74,19,0,30,1,37,193
"Ofaveolata004849",3,0,2,0,14,5,3,0,0,0,0,15,7,0,3,3,0,3,9
"Ofaveolata004850",19,0,11,9,38,16,6,3,0,0,0,54,22,11,0,7,1,10,129
"Ofaveolata004859",132,40,9,18,104,11,36,4,0,0,7,4,2,0,11,30,2,26,8
"Ofaveolata004861",1,0,1,0,3,3,7,1,0,0,0,13,7,0,0,0,0,0,13
"Ofaveolata004862",3,13,6,0,8,14,12,2,2,0,0,14,6,6,0,2,0,7,16
"Ofaveolata004867",78,26,4,0,59,69,20,12,3,3,2,44,18,2,9,3,0,18,81
"Ofaveolata004868",106,109,28,8,69,83,57,9,39,12,7,108,67,44,21,61,8,81,101
"Ofaveolata004869",16,20,2,0,34,36,4,2,10,3,0,28,19,4,1,5,1,13,51
"Ofaveolata004870",4,0,0,0,8,9,1,0,0,0,0,17,4,1,0,3,0,9,23
"Ofaveolata004874",21,5,32,54,69,35,44,41,22,8,7,99,64,32,11,63,3,36,98
"Ofaveolata004880",21,7,19,12,1,20,11,3,7,3,0,39,18,45,4,24,0,13,1
"Ofaveolata004881",11,18,8,1,2,20,11,2,8,1,5,12,11,4,3,19,2,16,0
"Ofaveolata004892",6,0,6,0,5,4,2,0,2,0,0,16,6,0,0,15,0,2,6
"Ofaveolata004893",238,45,31,3,320,58,61,34,16,0,11,260,98,14,15,48,0,97,279
"Ofaveolata004894",54,15,10,6,77,34,8,10,13,0,6,42,9,9,4,13,1,18,68
"Ofaveolata004895",14,1,2,2,29,31,8,6,1,0,3,34,15,8,0,9,3,11,76
"Ofaveolata004897",27,16,4,0,19,45,9,10,0,0,0,31,2,0,0,3,0,10,43
"Ofaveolata004899",225,74,49,38,274,179,80,90,17,2,19,195,129,57,18,55,5,91,509
"Ofaveolata004900",242,126,200,70,580,362,232,124,97,26,29,496,282,138,40,220,9,293,813
"Ofaveolata004902",11,15,3,3,24,7,12,1,1,0,2,22,17,1,2,1,0,3,47
"Ofaveolata004903",9,1,1,3,11,5,4,0,0,0,0,18,10,2,2,0,0,3,30
"Ofaveolata004904",14,10,4,0,41,12,2,14,0,0,0,30,11,0,2,15,0,11,67
"Ofaveolata004906",13,7,5,1,34,34,15,17,6,7,0,26,11,1,0,5,1,10,63
"Ofaveolata004908",43,19,74,19,150,105,81,32,16,4,6,159,102,14,6,34,11,62,306
"Ofaveolata004909",32,7,5,0,17,42,2,8,1,0,0,20,13,12,4,3,0,3,34
"Ofaveolata004910",155,25,35,13,193,94,59,27,13,1,2,195,113,8,29,82,0,72,253
"Ofaveolata004917",2,0,11,0,5,10,4,4,5,0,1,11,13,5,0,12,0,9,28
"Ofaveolata004921",12,3,0,0,12,9,7,0,0,0,0,30,10,1,0,11,1,5,21
"Ofaveolata004922",12,0,11,0,29,17,4,0,1,0,0,32,14,7,0,0,0,10,48
"Ofaveolata004924",38,10,17,2,51,14,14,10,0,0,4,34,35,11,9,1,0,15,57
"Ofaveolata004925",99,100,49,5,122,79,117,43,51,2,10,229,108,87,3,62,3,72,245
"Ofaveolata004927",7,0,7,1,10,20,15,10,1,0,0,41,13,8,0,3,0,4,47
"Ofaveolata004929",216,40,34,17,265,182,39,33,12,0,3,251,123,32,3,50,0,72,365
"Ofaveolata004930",94,13,53,0,76,86,41,1,13,0,8,183,90,15,5,35,0,61,191
"Ofaveolata004933",90,16,20,1,79,46,17,13,8,3,5,92,35,9,0,23,2,37,121
"Ofaveolata004941",3,3,1,1,40,12,4,2,0,0,0,79,21,2,0,3,0,8,31
"Ofaveolata004942",99,42,42,22,105,108,52,25,13,2,3,159,97,36,15,48,5,60,222
"Ofaveolata004943",64,28,12,2,34,64,4,45,14,3,13,115,48,10,2,34,2,22,143
"Ofaveolata004944",30,14,12,9,11,36,4,11,0,0,0,29,13,4,2,1,3,1,54
"Ofaveolata004947",6,0,1,0,7,7,0,0,0,0,0,18,11,0,0,0,0,4,21
"Ofaveolata004948",278,12,0,0,0,619,24,3,0,0,0,4,0,6,0,0,1,0,249
"Ofaveolata004949",681,31,2,0,4,880,40,2,1,2,0,20,11,6,0,3,0,5,1877
"Ofaveolata004950",15,7,11,0,14,22,10,9,4,0,0,13,21,8,0,9,0,7,45
"Ofaveolata004954",48,19,55,12,89,112,80,49,20,11,10,182,135,42,7,81,12,95,146
"Ofaveolata004955",15,3,19,6,23,15,15,18,13,3,0,53,44,9,1,14,1,14,72
"Ofaveolata004956",91,23,32,12,56,78,45,22,10,2,12,101,36,23,10,25,7,37,194
"Ofaveolata004958",10,5,4,0,6,17,1,4,0,0,0,9,3,2,3,7,0,6,60
"Ofaveolata004962",8,3,5,0,9,2,0,7,2,0,1,11,12,1,0,11,3,3,65
"Ofaveolata004964",6,11,1,0,10,6,2,0,0,0,0,28,9,4,0,1,0,2,39
"Ofaveolata004965",11,0,10,4,23,1,4,2,0,0,0,30,11,5,0,0,0,7,63
"Ofaveolata004966",7,1,6,2,19,5,4,6,0,2,5,31,11,0,0,1,0,9,20
"Ofaveolata004968",9,0,2,2,10,6,9,0,0,0,0,19,9,0,0,6,0,0,29
"Ofaveolata004974",156,72,29,13,241,63,45,15,20,0,7,106,60,28,20,44,0,82,197
"Ofaveolata004977",17,3,6,1,41,34,13,10,1,0,1,37,13,2,0,18,0,26,94
"Ofaveolata004979",2,0,1,4,14,2,4,1,0,0,0,14,8,1,0,0,0,14,28
"Ofaveolata004990",270,168,0,1,33,179,11,8,8,0,0,26,18,0,3,17,0,15,219
"Ofaveolata004991",19,2,11,3,20,16,2,7,6,0,4,49,20,7,0,10,1,13,63
"Ofaveolata004992",7,8,6,13,17,6,16,2,2,0,1,16,9,0,1,8,1,7,26
"Ofaveolata004996",18,0,3,0,15,7,3,8,6,0,1,24,3,22,3,6,1,6,37
"Ofaveolata005000",1275,2081,22,86,91,527,121,15,24,1,6,64,41,7,71,25,5,47,210
"Ofaveolata005001",16,6,5,4,19,34,8,4,0,7,2,22,7,6,2,1,0,5,40
"Ofaveolata005004",13,2,0,6,19,2,0,1,0,0,0,11,1,1,0,0,0,2,15
"Ofaveolata005005",12,0,1,0,23,2,1,0,0,0,0,16,3,0,0,2,0,8,26
"Ofaveolata005006",15,0,4,0,20,13,0,0,0,0,0,27,6,0,0,1,0,8,51
"Ofaveolata005007",13,4,10,1,34,27,5,5,0,0,0,42,6,3,5,1,0,8,55
"Ofaveolata005008",219,79,104,31,384,293,83,73,26,23,3,650,341,89,8,98,12,176,667
"Ofaveolata005010",2,11,10,0,6,8,3,0,0,0,1,13,3,3,0,0,0,8,20
"Ofaveolata005014",10,1,8,4,23,2,4,1,0,0,0,17,18,8,4,0,1,3,55
"Ofaveolata005018",62,10,15,18,133,38,19,13,12,8,12,38,34,13,5,25,9,35,70
"Ofaveolata005019",132,28,38,12,171,122,50,58,32,6,7,293,142,35,20,57,3,119,350
"Ofaveolata005021",18,3,8,2,12,28,19,3,3,0,1,37,11,9,6,10,0,6,50
"Ofaveolata005022",31,19,14,1,35,18,29,7,5,1,8,53,23,4,2,17,0,19,95
"Ofaveolata005026",8,1,8,0,5,16,1,10,0,8,0,0,0,0,0,15,0,0,34
"Ofaveolata005036",28,4,8,6,27,22,5,4,2,0,0,50,31,5,0,2,2,13,72
"Ofaveolata005037",11,0,4,2,15,8,4,3,0,0,0,15,6,0,0,3,2,0,21
"Ofaveolata005039",48,11,59,14,221,41,51,75,55,5,10,401,238,53,1,72,4,203,371
